order_id,order_date,amount,product_id
1001,2024-10-16,267.1,109
1002,2023-09-08,485.26,104
1003,2024-11-23,1494.3,118
1004,2023-03-31,1201.46,102
1005,2023-01-31,232.71,108
1006,2024-06-01,1223.94,118
1007,2023-07-23,1446.24,118
1008,2024-03-05,479.86,119
1009,2023-10-12,1628.39,101
1010,2023-06-13,1411.37,111
1011,2023-10-12,353.19,111
1012,2023-04-15,230.85,104
1013,2024-01-03,1702.61,120
1014,2023-09-28,1623.9,115
1015,2024-07-03,293.41,113
1016,2023-03-22,1126.48,120
1017,2024-01-06,1175.84,103
1018,2023-02-16,1339.46,110
1019,2023-03-23,1717.87,104
1020,2024-01-25,592.05,112
1021,2023-06-16,771.85,107
1022,2024-11-17,570.61,103
1023,2024-09-15,1288.21,118
1024,2023-09-08,368.63,113
1025,2023-10-04,1979.57,118
1026,2023-08-13,1385.0,102
1027,2023-08-23,1652.52,111
1028,2024-02-15,572.09,107
1029,2024-08-03,1758.92,111
1030,2023-08-06,1328.11,113
1031,2024-10-20,944.76,109
1032,2023-05-23,530.92,118
1033,2024-07-05,562.35,119
1034,2024-03-14,1800.75,113
1035,2024-01-06,477.68,105
1036,2024-06-05,1012.36,102
1037,2023-04-23,348.04,106
1038,2024-11-27,873.21,103
1039,2024-01-30,794.16,115
1040,2024-06-25,540.26,118
1041,2023-01-12,1376.55,104
1042,2024-11-29,1775.34,109
1043,2024-10-18,713.34,110
1044,2024-03-21,358.41,101
1045,2023-09-27,1945.18,106
1046,2024-06-03,1829.62,110
1047,2024-10-16,1039.94,107
1048,2023-06-06,779.13,106
1049,2024-07-06,1909.32,117
1050,2023-01-01,1217.94,116
1051,2023-01-20,268.14,112
1052,2023-11-11,516.93,108
1053,2024-08-03,1896.55,103
1054,2024-05-12,1641.25,118
1055,2023-05-09,300.36,116
1056,2024-07-16,372.0,117
1057,2024-09-13,875.12,107
1058,2024-07-06,1522.77,107
1059,2023-11-16,828.03,112
1060,2024-03-24,1804.25,115
1061,2023-05-04,533.42,103
1062,2023-12-13,91.02,118
1063,2023-08-24,1197.46,101
1064,2023-03-14,1430.29,102
1065,2023-08-23,181.43,102
1066,2023-12-05,188.17,108
1067,2023-10-13,1354.51,107
1068,2024-07-06,308.01,119
1069,2024-08-13,971.71,116
1070,2024-02-21,421.3,104
1071,2024-11-05,890.55,114
1072,2024-02-25,960.7,102
1073,2024-11-20,1324.24,104
1074,2023-03-04,835.11,111
1075,2023-04-22,534.88,107
1076,2024-07-03,924.8,114
1077,2023-07-07,593.16,108
1078,2023-03-19,914.1,118
1079,2023-04-11,148.65,118
1080,2023-01-16,1939.54,108
1081,2023-06-20,842.51,116
